L1_Eligibility ,Decision,Notes,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
1,not sure,might be wider lit (information barrier),LX3874AK,journalArticle,2020,"Giraudet, LG",Energy efficiency as a credence good: A review of informational barriers to energy savings in the building sector,ENERGY ECONOMICS,,0140-9883,10.1016/j.eneco.2020.104698,,"Information problems have early been suspected to be the main barrier to energy-efficiency investment. I review the vast yet piecemeal research that has been carried out since. Focusing on energy efficiency in buildings, I organize the review around the concept of credence good: just like that of auto repairs or taxi rides, the quality of energy-efficiency measures is never fully revealed to the buyer; as a result, it is subject tomultiple information asymmetries. My first contribution is to distinguish symmetric-information problems from information asymmetries. The former arise when information is either incomplete or imperfect, but equally shared by contracting parties; as non-market failures, these can be addressed by technological progress and insurance markets. My second contribution is to give structure to the information asymmetries associated with energy efficiency by disentangling screening, signalling, moral hazard and price discrimination within a variety of contractual relationships involving buyers and sellers, owners and renters, borrowers and lenders, and regulators and policy stakeholders. I find evidence of information asymmetries to be compelling in utility-included rental contracts, unclear in home sales and rentals, and scarce in retrofit contracting and financing. I conclude by discussing the intricacies between informational and behavioural problems in energy-efficiency decisions. (C) 2020 Elsevier B.V. All rights reserved.",2020-03,18/03/2023 17:45,18/03/2023 17:45,,,,,87,,,,,,,,,,,,,,WOS:000536091600014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,measure improvement of epc,DRA4WYGZ,journalArticle,2022,"von Platten, J.; Mangold, M.; Johansson, T.; Mjörnell, K.",Energy efficiency at what cost? Unjust burden-sharing of rent increases in extensive energy retrofitting projects in Sweden,Energy Research and Social Science,,,10.1016/j.erss.2022.102791,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137010833&doi=10.1016%2fj.erss.2022.102791&partnerID=40&md5=795181238b0f75cd3832d8dc635313ae,,2022,18/03/2023 17:44,18/03/2023 17:50,,,,,92,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,,NPXPTXBB,journalArticle,2010,"Ciochetti, Brian A.; McGowan, Mark D.",Energy Efficiency Improvements: Do They Pay?,Journal of Sustainable Real Estate,,19498276,,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=1152878&site=ehost-live,"This study attempts to quantify the economic gains associated with investment in energy efficiency improvements (EEI) for commercial real estate. We discuss reasons and challenges associated with taking on this endeavor. Benchmarking the performance of these improvements is discussed through an explanation of the Leadership in Energy and Environmental Design (LEED) program. A series of projects for which investment in EEI has been conducted are reviewed. While data limitations preclude the ability to generalize our results, we believe they demonstrate an area of real estate investment that should not be overlooked. The findings should appeal to owners and operators of commercial real estate, as well as tenants who occupy space in these buildings.",2010,18/03/2023 17:46,18/03/2023 17:46,,305-333,,1,2,,Journal of Sustainable Real Estate,,,,,,,,,,,EconLit,,EBSCOhost,,,,,,Biodiversity Conservation; Bioeconomics; Ecological Economics: Ecosystem Services; Industrial Ecology Q57; Nonagricultural and Nonresidential Real Estate Markets R33; Valuation of Environmental Effects Q51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be wider literature,price effect?,4EDBHSHK,journalArticle,1987,"Laquatra, Joseph",Energy Efficiency in Rental Housing,Energy Policy,,3014215,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/205324305?accountid=14540&bdid=29235&_bd=wJnMPvs4VlmbUTCHBdfnOUnc254%3D,"In cases in which indigenous resources comprise a small amount of a state's energy supplies, money spent on energy is transferred to export economies, reducing local spending on goods and services.  Prevention of this transfer via conservation increases household disposable income, which in turn, impacts areas like the local tax base, sales, and jobs.  It follows that a strong relationship can exist between energy efficiency and economic development.  In some areas, optimal energy conservation can be achieved without government intervention due to market incentives.  Nevertheless, institutional barriers in the rental sector contribute to a lack of thermal integrity in structures often inhabited by those who can least afford energy price increases.  The problems that are associated with achieving energy efficiency in rental housing are reviewed, and the approaches used by local governments to overcome barriers are reported.  The experience of Ithaca, New York, serves as an example.",1987-12,18/03/2023 17:45,18/03/2023 17:45,,549,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,seems using indirect approach (stated preference),HIAQIYER,journalArticle,2019,"Franke, M.; Nadler, C.",Energy efficiency in the German residential housing market: Its influence on tenants and owners,Energy Policy,,,10.1016/j.enpol.2019.01.052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061237449&doi=10.1016%2fj.enpol.2019.01.052&partnerID=40&md5=cf96c271c92744293ed7aa5d07817400,,2019,18/03/2023 17:44,18/03/2023 17:50,,879-890,,,128,,,,,,,,,,,,,Scopus,,,,,,,,Choice-based conjoint; Decision-making; Economic indicators; Energy conservation in buildings; Energy consumption; Energy consumption of buildings; Energy efficiency; Energy performance certificates; European Union; Germany; Home energy use; Housing market; Residential housing market; Residential real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,review paper,QDWNBC7F,journalArticle,2019,"Marmolejo-Duarte, C.; del Moral, C.; Delgado, L.; Spairani, S.; Botton, J.; Pérez, C.; Chen, A.; Gyurkovich, M.",Energy efficiency in the residential market and implications for architecture education in Spain,World Transactions on Engineering and Technology Education,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073680140&partnerID=40&md5=b3be7e7aa10c7deaec5552ff73030d8f,,2019,18/03/2023 17:44,18/03/2023 17:44,,225-230,,3,17,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,price ,G6A4D83M,journalArticle,2020,"Chegut, A; Eichholtz, P; Holtermans, R; Palacios, J",Energy Efficiency Information and Valuation Practices in Rental Housing,JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,,0895-5638,10.1007/s11146-019-09720-0,,"The consensus in the academic literature is that energy efficiency is associated with transaction value premiums, but it is not clear to what extent property appraisers take account of this. We decompose external appraisals of rental housing by international valuation firms in England and the Netherlands in two waves, keeping the samples of valued homes constant between these years. We find a notable change in the behavior of external property appraisers. In England, energy performance does not impact assessed values in 2012, while estimation results for 2015 show a significant discount in assessed values for D-, E- and F- relative to C-labeled dwellings. For the Netherlands, we do not observe a significant relationship between energy efficiency and assessed values in 2010, but in 2015 we find that more energy efficiency leads to higher external valuations.",2020-02,18/03/2023 17:45,18/03/2023 17:51,,181-204,,01-Feb,60,,,,,,,,,,,,,,WOS:000511535300011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; ,cost burden; split incentive,RJZLH9N3,journalArticle,2018,"Weber, Ines; Wolff, Anna",Energy efficiency retrofits in the residential sector – analysing tenants' cost burden in a German field study.,Energy Policy,,3014215,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=131998575&site=ehost-live,"Abstract With the goal of reducing carbon dioxide emissions and curbing climate change, increasing the energy efficiency of buildings with energy efficiency retrofits is an important task. In Germany a large share of the residential building stock is rented. This comes with barriers to energy efficiency retrofitting due to split incentive problems. Alongside existing government incentive programmes, the German tenancy law allows landlords to add a maximum of 11% of the energy-related modernisation costs onto the annual rent. Studies evaluating the actual outcomes, from an energy as well as a social point of view, are rare. This article compares calculated theoretical heating energy consumption for prior to and after retrofit with actual consumption data after retrofit. Further, the issue of household expenses is addressed by comparing increased rental costs after retrofit with household's energy expenses prior and after retrofit. Despite a reduction in energy consumption of 70%, more than half of the households faced increased costs due to higher rents after retrofit. Even when increases in energy prices are taken into account, still one third of the households faced higher costs. For a fairer and more effective distribution of costs and benefits, this article stresses the importance of alternative financing models. Highlights • Tenants often do not profit from energy efficiency retrofits in financial terms. • Households with low energy consumption are disproportionately affected. • Alternative financing models are needed for more efficient and fair retrofit policies. [ABSTRACT FROM AUTHOR]",2018-11,18/03/2023 17:46,18/03/2023 17:46,,680-688,,,122,,Energy Policy,,,,,,,,,,,Business Source Ultimate,,EBSCOhost,,,,,,Carbon dioxide mitigation; Climate change; Data analysis; Energy consumption; Energy efficiency retrofits; Germany; Heating consumption; Retrofitting; Split incentive; Tenants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be wider literature,split incentive for energy efficiency retrofits,KV76S9VU,journalArticle,2018,"Weber, I.; Wolff, A.",Energy efficiency retrofits in the residential sector – analysing tenants’ cost burden in a German field study,Energy Policy,,,10.1016/j.enpol.2018.08.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052222400&doi=10.1016%2fj.enpol.2018.08.007&partnerID=40&md5=9e7ea582b95a3d6fd824f377e9680bfa,,2018,18/03/2023 17:44,18/03/2023 17:51,,680-688,,,122,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,energy intensity and house value,Z7QY8DA3,journalArticle,2019,"Forys, I.; Putek-Szelag, E.; Ziembicka, B.",Energy intensity of a building in the process of estimating the market value of a residential unit,Ekonomia i Srodowisko,,,10.34659/2019/4/52,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091233992&doi=10.34659%2f2019%2f4%2f52&partnerID=40&md5=d25d7791161e1d9f402192b290491f43,,2019,18/03/2023 17:44,18/03/2023 17:51,,107-122,,71,,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,LZR89R8Z,journalArticle,2014,"Cerin, P.; Hassel, L.G.; Semenova, N.",Energy Performance and Housing Prices,Sustainable Development,,,10.1002/sd.1566,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919841476&doi=10.1002%2fsd.1566&partnerID=40&md5=2bb6d597b7c388f314f12cd71d6f19fd,,2014,18/03/2023 17:44,18/03/2023 17:51,,404-419,,6,22,,,,,,,,,,,,,Scopus,,,,,,,,energy performance; Home prices; Housing finance; Housing satisfaction; Power resource standards; property value; Real property sales & prices; residential property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,WRCTXIVV,journalArticle,2017,"Olaussen, J.O.; Oust, A.; Solstad, J.T.",Energy performance certificates – Informing the informed or the indifferent?,Energy Policy,,,10.1016/j.enpol.2017.09.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032289638&doi=10.1016%2fj.enpol.2017.09.029&partnerID=40&md5=458a23253337831e0dec0547b4d61741,,2017,18/03/2023 17:44,18/03/2023 17:51,,246-254,,,111,,,,,,,,,,,,,Scopus,,,,,,,,Energy conservation; Energy industries; Energy management; Energy performance certificates; Energy savings; Environmental regulation; Housing policy; Office building energy consumption; Power resources; Q4; Q5; R2; R3; Real estate pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,HM329TJE,journalArticle,2020,"McCord, M.; Haran, M.; Davis, P.; McCord, J.",Energy performance certificates and house prices: a quantile regression approach,Journal of European Real Estate Research,,,10.1108/JERER-06-2020-0033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090163840&doi=10.1108%2fJERER-06-2020-0033&partnerID=40&md5=94d968e36e2625568bd85d1831c4686e,,2020,18/03/2023 17:44,18/03/2023 17:51,,409-434,,3,13,,,,,,,,,,,,,Scopus,,,,,,,,Energy: Demand and Supply; Housing Supply and Markets R31; Prices Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,might be wider lit,Q9B8SISA,journalArticle,2019,"Fleckinger, P.; Glachant, M.; Tamokoué Kamga, P.-H.",Energy Performance Certificates and investments in building energy efficiency: A theoretical analysis,Energy Economics,,,10.1016/j.eneco.2019.104604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076596197&doi=10.1016%2fj.eneco.2019.104604&partnerID=40&md5=306161438fbcd07e50b14705aecea26c,,2019,18/03/2023 17:44,18/03/2023 17:51,,,,,84,,,,,,,,,,,,,Scopus,,,,,,,,Asymmetric and Private Information; Energy: Demand and Supply; Energy: Government Policy Q48; Mechanism Design D82; Prices Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,3HDPSVLF,journalArticle,2019,"Wilhelmsson, M.",Energy performance certificates and its capitalization in housing values in Sweden,Sustainability (Switzerland),,,10.3390/su11216101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074839206&doi=10.3390%2fsu11216101&partnerID=40&md5=192c8021bb9a1c0e93c2e4f68fef77d6,,2019,18/03/2023 17:44,18/03/2023 17:51,,,,21,11,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,ZX9M6M5T,journalArticle,2017,"Fregonara, E.; Rolando, D.; Semeraro, P.",Energy performance certificates in the Turin real estate market,Journal of European Real Estate Research,,,10.1108/JERER-05-2016-0022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027358619&doi=10.1108%2fJERER-05-2016-0022&partnerID=40&md5=40fda3d9ab882b7e8c39fc50eb9f9eeb,,2017,18/03/2023 17:44,18/03/2023 17:51,,149-169,,2,10,,,,,,,,,,,,,Scopus,,,,,,,,Energy: Demand and Supply; Housing Supply and Markets R31; Prices Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,5YY6G5TE,journalArticle,2019,"Olaussen, JO; Oust, A; Solstad, JT; Kristiansen, L",Energy Performance Certificates-The Role of the Energy Price,ENERGIES,,1996-1073,10.3390/en12183563,,"Energy performance certificates (EPCs) were introduced to give property buyers better information about the energy efficiency of dwellings and provide incentives to make energy-efficient investments. Previous studies on the effect of EPCs on property value have yielded divergent results, with some studies finding that energy labels affect property values, but others finding that energy labels have little or no effect. The present paper takes the analysis one step further. Using data on energy prices in combination with transaction data from Oslo, we conclude that not only the energy label, but also the energy performance of dwellings in general, has little to no effect on transaction prices. This result is in line with the inferences of several survey studies, which indicate that when people buy a dwelling, they pay considerably less attention to its energy performance compared with other factors, such as the location, neighborhood, size, garden, and the number of bedrooms.",2019-09,18/03/2023 17:45,18/03/2023 17:45,,,,18,12,,,,,,,,,,,,,,WOS:000489101200159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,epc impact on speed of sales,LRQCZ7DW,journalArticle,2019,"Aydin, E; Correa, SB; Brounen, D",Energy performance certification and time on the market,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,,0095-0696,10.1016/j.jeem.2019.102270,,"This paper analyzes whether energy performance certificates (EPCs) serve as means to reduce the information asymmetry among market participants during the sale of homes. Using a sample of 876,000 single-family homes in the Netherlands, we examine the impact of EPC adoption on the speed of sale. Our results indicate that energy-rated homes sell faster than non-energy-rated homes, an effect that varies by 7-12 percent depending on model specifications and increases when positive (green) ratings are granted. The information conveyed by these certificates reduces the information asymmetry between buyers and sellers, which helps to reduce the uncertainty of quality. (C) 2019 Published by Elsevier Inc.",2019-11,18/03/2023 17:45,18/03/2023 17:45,,,,,98,,,,,,,,,,,,,,WOS:000506725300021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,FTS7GDZ2,journalArticle,2016,"Fuerst, F.; McAllister, P.; Nanda, A.; Wyatt, P.",Energy performance ratings and house prices in Wales: An empirical study,Energy Policy,,,10.1016/j.enpol.2016.01.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960361019&doi=10.1016%2fj.enpol.2016.01.024&partnerID=40&md5=9d8fc37e289e924dbaaed13f9b179afd,,2016,18/03/2023 17:44,18/03/2023 17:51,,20-33,,,92,,,,,,,,,,,,,Scopus,,,,,,,,Cross-sectional method; Dwellings; Energy consumption; Energy economics; Energy performance certificate; Home prices; Prices; Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,conference,WQXG8L7F,conferencePaper,2018,"Tajani, F.; Morano, P.; Di Liddo, F.; Ntalianis, K.; Guarnaccia, C.; Mastorakis, N.",Energy retrofit assessment through automated valuation models: An Italian case study,,,,10.1063/1.5045451,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051108727&doi=10.1063%2f1.5045451&partnerID=40&md5=8107679ac7b12e417dc86e9a4c14d7eb,,2018,18/03/2023 17:44,18/03/2023 17:52,,,,,1982,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIP Conference Proceedings,,,,,,,,,,,,,,,
1,not sure; might be wider literature,,9F8CAWLS,journalArticle,2015,"Dubois, Maarten; Allacker, Karen",Energy savings from housing: Ineffective renovation subsidies vs efficient demolition and reconstruction incentives,Energy Policy,,3014215,,http://ezproxy.lib.gla.ac.uk/login?url=https://www.proquest.com/docview/1723022368?accountid=14540&bdid=29235&_bd=qErNXX3Jwh1HN3LDAOn7GHr5tbI%3D,"Energy savings in the housing sector are key to reduce global greenhouse gas emissions. Policies to incentivize energy savings are however disparate between countries. Taking into account environmental aspects and consumer surplus, the paper uses a stylized economic model to assess the effectiveness and efficiency of three economic instruments: subsidies for renovation, subsidies for demolition and reconstruction projects and subsidies for building new houses on virgin land. The assessment also relates to differentiated value added taxes and other financial incentives such as green loans. In a counter-intuitive way, the model highlights that subsidies for renovations with minor energy gains worsen the overall energy consumption of housing due to the inducement of lock-ins with energy inefficient houses. Structural changes are needed in the use of policy instruments. First, commonly applied support schemes for renovations with minor energy savings should be abolished. Second, scarce public resources should incentivize deep renovation and demolition and reconstruction. Finally, taxes should apply on the use of virgin land to persuade households with a high willingness to pay for a new house, to invest in demolition and reconstruction.",2015-11,18/03/2023 17:45,18/03/2023 17:45,,697,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be wider literature,,WUQ7PDJD,journalArticle,2013,"Quaid, Olivia; Sheridan, Paul; Heighton, Mark",Envisaging an energy-efficient Europe: Implications for the real estate sector following the adoption of the Energy Efficiency Directive.,"Journal of Building Survey, Appraisal & Valuation",,20469594,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=88046578&site=ehost-live,"As many readers will be aware there is an increasing amount of law imposing requirements in respect of the energy performance and efficiency of buildings both at domestic and European Union level. This paper considers some of the European Union's stated commitments prior to considering the content and the implications arising out of one of the European Union's most recent measures, Directive 2012/27/EU of the European Parliament and of the Council on energy efficiency, which is known as the Energy Efficiency Directive (hereafter, the Directive). [ABSTRACT FROM AUTHOR]",01/03/2013,18/03/2023 17:46,18/03/2023 17:46,,61-67,,1,2,,"Journal of Building Survey, Appraisal & Valuation",,,,,,,,,,,Business Source Ultimate,,EBSCOhost,,,,,,Construction industry; Construction laws; energy audits; Energy consumption; Energy consumption of buildings; Energy Efficiency Directive; energy procurement; European Union countries; Real property; Recast Energy Performance of Buildings Directive; renovation; United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,5MENSXV7,journalArticle,2019,"Dell'Anna, F.; Bravi, M.; Marmolejo-Duarte, C.; Bottero, M.C.; Chen, A.",EPC green premium in two different European climate zones: A comparative study between Barcelona and Turin,Sustainability (Switzerland),,,10.3390/su11205605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073788817&doi=10.3390%2fsu11205605&partnerID=40&md5=c1c389d712c43482aa90742d518b0dbb,,2019,18/03/2023 17:44,18/03/2023 17:52,,,,20,11,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be related lit,epc and energy cost,CUSG9YMU,journalArticle,2007,"Johnson, Neil",EPC impact to be fuelled by energy costs.,Mortgage Strategy,,1475651X,,https://search.ebscohost.com/login.aspx?direct=true&db=bsu&AN=25060820&site=ehost-live,The article reports on the Energy Performance Certificate (EPC) proposal by Home Information Packs (HIP) for the buyers in housing market. EPC contains ratings to measure the properties' energy efficiency and environmental impact that will determine its efficiency. It will be presented in graphs to the potential buyers that will allow them to make informed choices about the properties they are considering.,07/05/2007,18/03/2023 17:46,18/03/2023 17:46,,45-45,,,,,Mortgage Strategy,,,,,,,,,,,Business Source Ultimate,,EBSCOhost,,Publisher: Centaur Communications,,,,Clients; Environmental impact analysis; Housing market; Mortgages; Residential real estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,BIEIT7VY,journalArticle,2021,"Barreca, A.; Fregonara, E.; Rolando, D.",Epc labels and building features: Spatial implications over housing prices,Sustainability (Switzerland),,,10.3390/su13052838,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102694054&doi=10.3390%2fsu13052838&partnerID=40&md5=90c9bb7368e571d7173cef298d458567,,2021,18/03/2023 17:44,18/03/2023 17:52,,Jan-21,,5,13,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,JGAVG9S6,journalArticle,2022,"Taruttis, L.; Weber, C.",Estimating the impact of energy efficiency on housing prices in Germany: Does regional disparity matter?,Energy Economics,,,10.1016/j.eneco.2021.105750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120889747&doi=10.1016%2fj.eneco.2021.105750&partnerID=40&md5=e0e341ae8421d47f28a4d055f3ea18fa,,2022,18/03/2023 17:44,18/03/2023 17:52,,,,,105,,,,,,,,,,,,,Scopus,,,,,,,,"Climate; Energy: Government Policy Q48; Environmental Economics: Government Policy Q58; Global Warming Q54; Housing Supply and Markets R31; Natural Disasters and Their Management; Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand R21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,early paper,TFDBRET5,journalArticle,2003,"Miranowski, John; Dinan, T.",Estimating the Implicit Price of Energy Efficiency Improvement in the Residential Housing Market: A Hedonic Approach,,,,,https://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0839259&site=ehost-live,Abstract Currently Unavailable.,2003,18/03/2023 17:46,18/03/2023 17:46,,,,,,,,,,,,,,,,,,EconLit,Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org,EBSCOhost,,"Publisher: Iowa State University, Department of Economics, Staff General Research Papers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; might be wider literature,early paper; US,QJIP6EFT,journalArticle,1989,"Dinan, T.M.; Miranowski, J.A.",Estimating the implicit price of energy efficiency improvements in the residential housing market: A hedonic approach,Journal of Urban Economics,,,10.1016/0094-1190(89)90043-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249021259&doi=10.1016%2f0094-1190%2889%2990043-0&partnerID=40&md5=069af20b7ba34a4e681891b4a6f174f6,,1989,18/03/2023 17:44,18/03/2023 17:52,,52-67,,1,25,,,,,,,,,,,,,Scopus,,,,,,,,Energy consumption; Home prices; Iowa; United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure; measuring price risk reduction when improving energyefficiency,,4R83R97U,journalArticle,2017,"Tuominen, P.; Seppänen, T.",Estimating the value of price risk reduction in energy efficiency investments in buildings,Energies,,,10.3390/en10101545,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044463823&doi=10.3390%2fen10101545&partnerID=40&md5=1fccfd28b852df1a1e5054458d89943e,,2017,18/03/2023 17:44,18/03/2023 17:52,,,,10,10,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,KL3RZY5G,journalArticle,2022,"Massimo, D.E.; De Paola, P.; Musolino, M.; Malerba, A.; Del Giudice, F.P.",Green and Gold Buildings? Detecting Real Estate Market Premium for Green Buildings through Evolutionary Polynomial Regression,Buildings,,,10.3390/buildings12050621,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130205650&doi=10.3390%2fbuildings12050621&partnerID=40&md5=3681ef308be5c9196531b1261efc1b57,,2022,18/03/2023 17:44,18/03/2023 17:52,,,,5,12,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,not sure,might be wider methodology lit,P8M43JE4,journalArticle,2020,"Molina, G.; Donn, M.; Johnstone, M.-L.; MacGregor, C.",Green labels in housing: Further evidence on their effectiveness,Journal of Sustainable Real Estate,,,10.1080/19498276.2021.1957417,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113990336&doi=10.1080%2f19498276.2021.1957417&partnerID=40&md5=3bb4797a7b3e6ddab2d25211c6b48a4a,,2020,18/03/2023 17:44,18/03/2023 17:44,,69-83,,1,12,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,8NJJ67QA,journalArticle,2019,"de La Paz, P.T.; Perez-Sanchez, V.R.; Mora-Garcia, R.-T.; Perez-Sanchez, J.-C.","Green premium evidence from climatic areas: A case in Southern Europe, Alicante (Spain)",Sustainability (Switzerland),,,10.3390/su11030686,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060969993&doi=10.3390%2fsu11030686&partnerID=40&md5=d131fc6bf71083ee831191571fa65a34,,2019,18/03/2023 17:44,18/03/2023 17:53,,,,3,11,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,clear,,WSMMZB65,journalArticle,2016,"Fuerst, F.; Oikarinen, E.; Harjunen, O.",Green signalling effects in the market for energy-efficient residential buildings,Applied Energy,,,10.1016/j.apenergy.2016.07.076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989853109&doi=10.1016%2fj.apenergy.2016.07.076&partnerID=40&md5=c4d78116b25486e586c993e5a92fb4f1,,2016,18/03/2023 17:44,18/03/2023 17:53,,560-571,,,180,,,,,,,,,,,,,Scopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
