DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year,in db search?,previous decision,final eligibility,deduplicate,add_to _inventory,reason,notes
10.1016/0094-1190(89)90043-0,,,Estimating the implicit price of energy efficiency improvements in the residential housing market: A hedonic approach,"Abstract   In this study a hedonic price model has been used to examine the impact which efficiency improvements have on housing values. Our study represents an improvement over a previous attempt to examine this issue in that the independent variable used in our analysis is designed to reflect variation in structural efficiency levels among sample homes, rather than variation in occupant lifestyles and preferences. In addition, a flexible functional form is used to prevent bias due to misspecification of the hedonic price equation.  The study results reveal that efficiency improvements are capitalized into housing prices in Des Moines, Iowa. At the average efficiency level of homes in the sample, an efficiency improvement which results in a $1 decrease in the level of expenditures necessary to maintain the house at 65 ?? F (in the average heating season) will increase the expected selling price of the house by $11.63. The premium obtained for an equivalent efficiency improvement will be greater than $11.63 in a relatively efficient home, and less than $11.63 in a relatively inefficient home.  Without further information concerning the price expectations and discount rates utilized by Des Moines home buyers, and the average remaining life of fuels saving investments in the sample, it cannot be determined whether the housing market is pricing fuel savings efficiently. Regardless of whether or not the implicit price of fuel savings is the outcome of an efficient market, information on this implicit price facilitates the estimation of an average resale value of fuel saving investments. In addition, the results of this study refute the hypothesis that efficiency improving investments are not capitalized into housing prices.","Terry M. Dinan,John Miranowski",Journal of Urban Economics,1989,1,0,0,,0,early paper; US,
10.1162/rest_a_00291,,,The economics of green building,"Research on climate change suggests that small improvements in the ""sustainability"" of buildings can have large effects on greenhouse gas emissions and on energy efficiency in the economy. This paper analyzes the economics of ""green"" building. First, we analyze a panel of office buildings ""certified"" by independent rating agencies, finding that large recent increases in the supply of green buildings and the unprecedented volatility in property markets have not significantly affected the relative returns to green buildings. Second, we analyze a large cross section of office buildings, demonstrating that economic premiums in rent and asset values are substantial. Third, we relate the economic premiums for green buildings to their sustainability, confirming that the attributes rated for both thermal efficiency and sustainability contribute to premiums in rents and asset values. Even among green buildings, increased energy efficiency is fully capitalized into rents and asset values.","Piet Eichholtz,Nils Kok,John M. Quigley",The Review of Economics and Statistics,2013,1,0,0,,0,Not residential buildings,office
10.1177/0042098016668288,,,The price premium for green-labelled housing: Evidence from China,"The Chinese central government introduced the ?€?Chinese Green Building Label?€? in 2008, which makes China one of the few developing countries with an official rating system of buildings?€? performance in sustainability. This paper investigates the existence and magnitude of the price premium associated with this official green label in the residential sector. Based on a unique data set of green-labelled, newly built housing projects and their non-labelled counterparts from around the country in 2013, an empirical analysis suggests that the labelled housing projects attract a price premium of 6.9% compared with their non-labelled counterparts. Further analysis suggests that this official green label is more effective as a reliable signal of buildings?€? energy efficiency in the Chinese context compared with developers?€? self-advertised ?€?greenness?€?. These results provide preliminary evidence that with this official rating system, the investment in buildings?€? energy-efficiency could be potentially profitable for ho...","Li Zhang,Hongyu Liu,Hongyu Liu,Jing Wu,Jing Wu,Jing Wu",Urban Studies,2017,1,0,0,,0,not Europe,China
10.1016/j.egypro.2017.11.127,,,Impact and reliability of EPCs in the real estate market,"Abstract   Energy Performance Certificates (EPCs) are expected to be a useful instrument for stakeholders (including final users), enabling to compare building energy performances within a purchasing/renting decision process. Thereby, EPCs should have a direct impact on the value of the properties, affecting the market attractiveness, as well as driving the investors in the energy renovations process. Nevertheless, a survey to real estate agents reveals a perceived low reliability of EPCs, representing one of the main barriers in their full implementation.  The paper presents the EPCs impact in the building market and an analysis on energy efficient buildings in eight European countries.","Ramon Pascual Pascuas,Giulia Paoletti,Roberto Lollini,Roberto Lollini",Energy Procedia,2017,1,0,0,,0,grey literature,conference
10.1016/j.jeem.2016.11.006,,,Is energy efficiency capitalized into home prices? Evidence from three U.S. cities,"Abstract   We test for evidence that energy efficiency features are capitalized into home prices in three U.S. metropolitan areas. Using hedonic regressions and multiple matching procedures, we find that Energy Star certification is associated with higher sales prices in two of the markets: the Research Triangle region of North Carolina and Portland, Oregon. We find that local ?€?green?€? certifications in Portland and in Austin, Texas, are also associated with higher prices and that the estimated price impacts are larger than those from Energy Star. Matching on observables proves to be important in some cases, reducing the estimated impacts compared with models without matching. We calculate the implied energy savings from the estimated premiums and find that, in the Research Triangle market, the Energy Star premiums approximately equal the savings that program is designed to achieve, but in Portland, the premiums are slightly greater than the program's savings due to low energy costs in the region.","Margaret Walls,Todd Gerarden,Karen Palmer,Xian Fang Bak",Journal of Environmental Economics and Management,2017,1,0,0,,0,not Europe,US
10.1016/j.regsciurbeco.2013.09.015,,,Economic returns to residential green building investment: The developers' perspective???,"While many studies have shown that ?€?green price premiums?€? accompany the development of green buildings, there is still significant doubt among the public as to the financial viability of investments in energy efficiency. In this paper, we examine this issue from the developers' perspective, and draw on data from Singapore's Green Mark (GM) system, which was introduced in 2005 to evaluate the sustainability and energy-efficiency of buildings. We find that the ?€?green price premium?€? of residential developments arises largely during the resale phase, relative to the presale stage. The market premium of GM-rated units is about 10% at the resale stage, compared to about 4% during the presale stage. This implies that, while developers pay for almost all of the additional costs of energy efficiency during construction, they only share part of the benefits associated with such green investments. We also find no evidence that the development of green housing can immediately and significantly improve the corporate financial performance of Singaporean residential developers. These results provide the first evidence of the mismatch that developers face between outlays and benefits in the residential green building sector. This mismatch may impede further development of green residential properties. The emerging green real estate markets should be encouraged to introduce innovative business arrangements and financial products that allow residential developers to capture the future benefits associated with green properties.","Yongheng Deng,Jing Wu",Regional Science and Urban Economics,2014,1,0,0,,0,not Europe,singapore
10.1016/j.enpol.2011.08.005,,,The Impact of Energy Performance Certificates on the Rental and Capital Values of Commercial Property Assets,"This paper focuses on the effect of energy performance ratings on appraised capital values, rental values and equivalent yields of UK commercial property assets. The study is based on a cross-section of 708 commercial property assets. Incorporating a range of potential confounding factors such as unexpired lease term, vacancy rate and tenant credit risk, we use hedonic regression procedures to estimate the effect of EPC rating on rental and capital values. The study finds no evidence of a significant relationship between environmental and/or energy performance and rental and capital values. A small subset of 24 BREEAM-rated assets is also tested for significant price effects but a statistically significant effect is only confirmed for equivalent yields. Similarly, there was no evidence that the EPC rating had any effect on Market Rent or Market Value with only minor effects of EPC ratings on equivalent yields. The preliminary conclusion is that energy labelling is not yet having the effects on Market Values and Market Rents that would be expected if high EPC ratings were associated with substantial cost savings that are fully reflected in capital values and/or were readily available and taken into account by prospective tenants and buyers.","Franz Fuerst,Patrick McAllister",Energy Policy,2011,1,0,0,1,0,out of scope,commercial; UK
,,,Doing Well by Doing Good: Green Office Buildings,"This paper provides the first credible evidence on the economic value of the certification of ""green buildings"" -- value derived from impersonal market transactions rather than engineering estimates. For some 10,000 subject and control buildings, we match publicly available information on the addresses of Energy Star and LEED-rated office buildings to the characteristics of these buildings, their rental rates and selling prices. We find that buildings with a ""green rating"" command rental rates that are roughly three percent higher per square foot than otherwise identical buildings - controlling for the quality and the specific location of office buildings. Ceteris paribus, premiums in effective rents are even higher - above six percent. Selling prices of green buildings are higher by about 16 percent. For the Energy-Star-certified buildings in this sample, we subsequently obtained detailed estimates of site and source energy usage from the U.S. Environmental Protection Agency. Our analysis establishes that variations in the premium for green office buildings are systematically related to their energy-saving characteristics. For example, an increase of ten percent in the site energy utilization efficiency of a green building is associated with a two percent increase in selling price - over and above the 16 percent premium for a labeled building. Further calculations suggest that a one dollar saving in energy costs from increased thermal efficiency yields roughly eighteen dollars in the increased valuation of an Energy-Star certified building.","Piet Eichholtz,Nils Kok,John M. Quigley",,2009,1,0,0,,0,Not residential buildings,office
10.1007/s11146-014-9462-3,,,The Effects of Multiple Green Factors on Condominium Prices,"This paper analyzes the transaction prices of green buildings assessed on the basis of multiple green factors. Our theoretical model demonstrates that the initial green premium can be negative but becomes positive as the building ages if a green building has a higher life-cycle cost and a longer economic life. Our empirical analysis of green condominiums in Tokyo confirms this prediction. We additionally find that the longer-life design is associated with a price premium, but the use of renewable energy and recycled materials and water is associated with price discounts. The price discounts are interpreted as the capitalization of a greater life-cycle user cost.","Jiro Yoshida,Ayako Sugiura",Journal of Real Estate Finance and Economics,2015,1,0,0,,0,not Europe,Japan
10.2139/ssrn.2472938,,,The Market Value of Energy Efficiency in Buildings and the Mode of Tenure,"Concerns about global warming and growing scarcity of fossile fuels require substantial changes in energy consumption patterns and energy systems, as targeted by many countries around the world. One key element to achieve such transformation is to increase energy efficiency of the housing stock. In this context, it is frequently argued that private investments are too low in the light of the potential energy cost savings. However, heterogenous incentives to invest in energy efficiency, particularly for owner-occupants and landlords, may serve as one explanation. This is particularly important for countries with a large rental sector, like Germany. Nevertheless, previous literature largely focuses on the pay offs owner-occupants receive, leaving out the rental market. This paper addresses this gap by comparing the capitalization of energy efficiency in selling prices (rents) for both types of residences. For this purpose data from the Berlin housing market are analyzed in hedonic regressions. The estimations reveal that energy efficiency is well capitalized in apartment prices and rents. The comparison of implicit prices and the net present value of energy cost savings/rents reveals that investors anticipate future energy and house price movements reasonably. However, in the rental segment, the value of future energy cost savings exceeds tenants' implicit willingness to pay by factor 2.98. This can either be interpreted as a result of market power of tenants, uncertainty in the rental relationship, or the ?€?landlord-tenant dilemma.""","Konstantin A. Kholodilin,Claus Michelsen,Claus Michelsen",Urban Studies,2017,1,1,1,,0,,
10.1016/j.enpol.2012.05.011,,,Energy Performance Certificate of building and confidence interval in assessment: An Italian case study,"The Directive 2002/91/CE introduced the Energy Performance Certificate (EPC), an energy policy tool. The aim of the EPC is to inform building buyers about the energy performance and energy costs of buildings. The EPCs represent a specific energy policy tool to orient the building sector and real-estate markets toward higher energy efficiency buildings. The effectiveness of the EPC depends on two factors:","Lamberto Tronchin,Kristian Fabbri",Energy Policy,2012,1,0,0,,0,wider literature,epc assessment
10.1007/s11146-008-9142-2,,,Green Design and the Market for Commercial Office Space,This paper considers the relationship between energy-efficient design and the leasing/sales markets for commercial real estate. An economic model is provided that considers lease rates and occupancy in simultaneous equilibrium. The behavior of both is predicted to be influenced by efficient design attributes. Selling price is determined by both rents and occupancy; therefore the impact of efficient design on commercial sales activity should be distributed through the leasing market. The model is tested empirically using a national sample of sales and leasing data for class A office buildings. The evidence indicates that ?€?green?€? buildings achieve superior rents and sustain significantly higher occupancy. The improved performance in the rental market is reflected in a significant premium for the selling price of Energy Star-labeled and LEED-certified properties.,"Jonathan A. Wiley,Jonathan A. Wiley,Justin D. Benefield,Ken H. Johnson",Journal of Real Estate Finance and Economics,2010,1,0,0,,0,Not residential buildings,office
10.1108/ijbpa-02-2018-0024,,,Sustainability ratings in residential development: a worthwhile endeavour?,"Rating tools for the built environment were designed to engage consumers and enhance sustainability and resilience. However, the intended outcomes of these rating systems appear to have limited implementation in the residential new housing market in Australia. The purpose of this paper is to investigate consumers?€? motivations and experiences who have purchased houses that are situated in a sustainability-based certified development and will have been required to comply with mandatory dwelling certification.,The paper explores the awareness and perception of sustainability ratings and whether the motivations for purchasing in the sustainably certified development have heightened their awareness of sustainability and the resilience of new housing. This has been investigated through a pilot study of consumers who have purchased land in a certified estate and built a new home, through an online survey.,The findings reveal that the rating systems are at present not having the desired influence as first thought; that is, to inform consumers of the sustainability of a dwelling or property and to instigate trust of the environmental credentials of the property.,This illuminating case study of participants who have purchased a sustainable rated development demonstrates that regardless of their concern for environmental issues, consumers have both low awareness and trust in the ratings. Despite this, consumers do seek value from these credentials to the overall property.,This study aims to illustrate the disconnect in engagement between developers, builders and new home buyers in relation to sustainability certification and implementation.","Georgia Warren-Myers,Madeline Judge,Angela Paladino",,2018,1,0,0,,0,out of scope,related lit
10.3390/su11226303,,,Meta-Analysis of Price Premiums in Housing with Energy Performance Certificates (EPC),"Studies have found that housing with energy performance certificates have a positive premium in sales price. However, other studies have obtained negative or unexpected results. The objective of this study is to determine whether or not housing with energy performance certificates (EPC) have positive premiums in the sales price. For this purpose, a systematic review, meta-analysis, and meta-regression of prior studies were conducted in order to determine whether the existence of an EPC influences sales price. A total of 66 documents were examined, with a total of 173 sales registers. The impact of having or not having an EPC was analyzed for housing sales price premiums on a global level, as well as the premiums in Europe for each of the ABCDEFG qualification letters. The results suggest that: 1) Globally speaking, it is estimated that housing with an EPC has an overall price premium of 4.20%, on a continent level, with premiums of 5.36% being obtained in North America, 4.81% in Asia, and 2.32% in Europe; 2) in Europe, the results are not conclusive with regards to the ABCDEFG qualification, since there is no consensus as to the letter base to be used as a reference for comparisons, thereby generating small comparable samples.","Mar??a Francisca C??spedes-L??pez,Maria-Francisca Cespedes-Lopez,Maria-Francisca Cespedes-Lopez,Raul-Tomas Mora-Garcia,V. Raul Perez-Sanchez,Juan-Carlos Perez-Sanchez",Sustainability,2019,1,0,0,,0,review paper,
10.1016/j.jclepro.2020.125327,,,Green premium in buildings: evidence from the real estate market of Singapore.,"Abstract   Different evaluation protocols were proposed to calculate the degree of sustainability of buildings and large-scale projects. In parallel, many studies focused on estimating the economic benefits delivered by green buildings according to the consumer choices using specific econometric models. The study aims to investigate the awareness of the benefits deriving from Green Mark-labeled buildings in Singapore through the application of the hedonic pricing method. In particular, the impact of the Green Mark was assessed in the multi-family building sector, starting from a transaction dataset of approximately 300,000 units sold between 2005 and 2017. Given the spatial complexity of the multi-family buildings market, spatial autocorrelation models were recommended. In particular, the spatial lag model (SAR) and the spatial error model (SEM) were applied. The paper implements the property valuation literature in the field of spatial econometrics related to sustainable certification. Besides, the research provided an assessment of the sustainability scheme over time, highlighting consumer behavior in different phases of the real estate market in Singapore. The results highlighted how spatial models filter the autocorrelation effect. As for the impact of Green Mark on the sale price of the apartments, the results confirmed that a green premium exists.","Federico Dell?€?Anna,Marta Carla Bottero",Journal of Cleaner Production,2020,1,0,0,,0,not Europe,singapore
10.1016/j.eneco.2019.104604,,,Energy performance certificates and investments in building energy efficiency: a theoretical analysis,"Abstract   In the European Union, Energy Performance Certificates (EPCs) provide potential buyers or tenants with information on a property's energy performance. By mitigating informational asymmetries on real estate markets, the conventional wisdom is that they will reduce energy use, increase energy-efficiency investments, and improve social welfare. We develop a model that partly contradicts these predictions. Although EPCs always improve social welfare in the absence of market failures other than asymmetric information, their impact on energy use and investments is ambiguous and depends both on the time horizon considered and the distribution of energy needs in the population. This implies that, in a second-best world where energy externalities are under-priced, EPCs can damage social welfare.","Pierre Fleckinger,Matthieu Glachant,Paul-Herv?? Tamokou?? Kamga",Energy Economics,2019,1,0,0,,0,wider literature,wider lit (wider economic analysis; equilibrium analysis)
10.1007/s11146-015-9499-y,,,Certification Matters: Is Green Talk Cheap Talk?,"There is an active and growing literature examining the rental rate, sales price, and occupancy premiums associated with sustainable or energy efficient certified real estate. To date, the focus has rested largely on office properties and for sale single family residential properties. We examine the rental rates achieved by green multifamily properties, providing the first look at the population of LEED market-rate apartments in the United States. We find an approximate 8.9 % rental rate premium associated with LEED apartments. Moreover, this research provides the first indication that LEED certification garners an additional premium over non-certified space that identifies as green, indicating the strength of the certification signal and contributing to the longstanding discussion on the merits of certification.","Shaun A. Bond,Avis Devine",Journal of Real Estate Finance and Economics,2016,1,0,0,,0,not Europe,USA
